timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount
20150425T0000,49.856953,66.290955,57.695953,4.2,0
20150426T0000,52.21495,64.99495,58.455704,1.2,0
20150427T0000,51.98095,63.266953,57.424454,2.2,0
20150428T0000,45.15895,56.55295,50.577698,6.4,0
20150429T0000,39.57895,63.086952,52.44745,0,0
20150430T0000,47.732952,59.77495,54.502445,0.4,0
20150501T0000,45.53695,59.792953,52.97995,28.500002,0
20150502T0000,48.09295,62.90695,54.70345,5.2999997,0
20150503T0000,53.690952,72.10495,62.709705,12.5,0
20150504T0000,58.47895,72.46495,65.0812,1.2,0
20150505T0000,58.40695,75.39896,66.63296,0,0
20150506T0000,51.56695,64.86895,58.593693,0.3,0
20150507T0000,49.13695,62.85295,56.026455,0,0
20150508T0000,50.01895,74.39095,62.156948,2.1000001,0
20150509T0000,53.834953,66.974945,60.833202,0,0
20150510T0000,48.974953,71.34895,61.121204,0,0
20150511T0000,52.430954,79.08895,67.37845,0,0
20150512T0000,59.70295,83.82295,71.8627,0,0
20150513T0000,56.984955,77.34295,67.15196,0.5,0
20150514T0000,53.92495,69.96295,64.37695,3.3,0
20150515T0000,46.38295,52.75495,50.314453,16,0
20150516T0000,47.030952,69.512955,58.007202,0,0
20150517T0000,53.222954,67.24495,59.609196,0,0
20150518T0000,50.864952,72.428955,61.0117,0,0
20150519T0000,51.78295,61.17895,56.58295,0,0
20150520T0000,47.210953,52.64695,50.2027,0.90000004,0
20150521T0000,44.43895,60.350952,51.94946,0,0
20150522T0000,44.87095,65.750946,54.98395,0,0
20150523T0000,48.25495,63.21295,56.722454,0,0
20150524T0000,51.06295,66.776955,59.612957,0,0
20150525T0000,54.176952,63.06895,58.758698,11.9,0
20150526T0000,48.182953,58.22695,53.732956,0.4,0
20150527T0000,43.73695,62.49295,53.618206,0,0
20150528T0000,47.15695,72.19495,60.332947,0,0
20150529T0000,54.68095,71.31295,62.78245,0,0
20150530T0000,52.71895,64.90495,59.939205,0,0
20150531T0000,50.39695,72.08695,63.225697,0,0
20150601T0000,56.89495,67.622955,63.5377,1.5000001,0
20150602T0000,56.444954,77.82895,67.59446,0.1,0
20150603T0000,59.34295,77.45095,70.23519,0,0
20150604T0000,58.17295,82.040955,70.256195,0,0
20150605T0000,64.74295,88.178955,77.550705,0,0
20150606T0000,67.44295,85.11895,77.01595,0,0
20150607T0000,59.792953,77.37895,69.24145,1,0
20150608T0000,56.40895,69.98095,61.87045,0.1,0
20150609T0000,54.28495,69.00896,60.512196,0,0
20150610T0000,53.00695,76.71295,65.6362,0,0
20150611T0000,61.46695,80.96095,71.51844,0,0
20150612T0000,59.972954,83.066956,70.1497,2.5,0
20150613T0000,61.39495,76.35295,69.167946,0.3,0
20150614T0000,63.24895,74.89495,68.4952,5.6999993,0
20150615T0000,59.93695,66.47095,62.843952,11.2,0
20150616T0000,55.778954,68.01895,61.262203,3.8000002,0
20150617T0000,48.704952,70.430954,60.773952,0,0
20150618T0000,53.834953,68.70296,62.60095,1.6999999,0
20150619T0000,52.75495,67.316956,60.601444,0.2,0
20150620T0000,54.266953,60.99895,58.075443,3.4,0
20150621T0000,49.71295,69.38695,59.732197,1.0000001,0
20150622T0000,55.958954,74.60695,65.7532,0,0
20150623T0000,52.59295,64.59895,58.447453,0.9,0
20150624T0000,48.16495,72.28495,61.7677,0,0
20150625T0000,56.12095,76.13695,67.4137,0,0
20150626T0000,59.666954,79.98895,71.003944,0,0
20150627T0000,62.94295,81.48295,70.73771,0,0
20150628T0000,58.100952,78.818954,68.701454,0,0
20150629T0000,62.150948,83.426956,73.6642,0,0
20150630T0000,63.77095,86.306946,75.771706,0,0
20150701T0000,65.84096,91.13095,79.42194,0,0
20150702T0000,69.40495,95.10895,82.613945,0,0
20150703T0000,75.722946,95.23495,85.16395,0,0
20150704T0000,75.09296,95.180954,85.0957,0,0
20150705T0000,74.44495,98.06094,86.03995,0,0
20150706T0000,69.04495,84.52495,76.735435,0.1,0
20150707T0000,66.79495,95.21695,82.47669,0.9,0
20150708T0000,62.348953,74.78695,69.5902,0,0
20150709T0000,58.13695,72.28495,65.533455,0,0
20150710T0000,50.666954,78.78294,65.9782,0,0
20150711T0000,57.488953,85.82095,72.9697,0,0
20150712T0000,62.79895,80.60095,72.32395,0,0
20150713T0000,65.24695,78.76495,71.873955,0,0
